지표 (Dimension),점수 구간,단계,전문가 처방 (Prescription)
D1. 시장 기회,0~40,위기,모든 개발을 중단하고 타겟 고객 10명을 만나 가설을 처음부터 다시 검증하세요.
D1. 시장 기회,41~60,정립,시장은 있으나 범위가 너무 넓습니다. 가장 먼저 점유할 '거점 시장(Beachhead)'을 좁게 정의하세요.
D1. 시장 기회,61~75,가속,검증된 타겟 외에 인접 시장으로 확장하기 위한 마케팅 채널 다변화와 파트너십을 구축하세요.
D1. 시장 기회,76~90,주도,압도적 점유율을 위해 경쟁자가 넘볼 수 없는 기술적/계약적 진입 장벽(Moat)을 강화하세요.
D1. 시장 기회,91~100,초격차,"시장의 규칙을 만드는 리더로서, 새로운 산업 생태계를 창조하고 글로벌 확장 로드맵을 실행하세요."
D2. 문제 정의,0~40,위기,현재 해결하려는 문제가 고객에게 '절실한' 것인지 재확인하세요. 문제의 본질(Root Cause)을 다시 파악해야 합니다.
D2. 문제 정의,41~60,정립,문제는 맞으나 해결 방식이 진부합니다. 사용자 여정(CJM)을 분석해 결정적인 불편함(Pain Point)을 다시 포착하세요.
D2. 문제 정의,61~75,가속,고객의 환호가 확인되었습니다. '불편 해소'를 넘어 고객에게 어떤 '가치'를 줄 것인지 정의를 격상하세요.
D2. 문제 정의,76~90,주도,데이터 분석을 통해 고객도 미처 인지하지 못한 잠재적 문제를 선제적으로 해결하는 시스템을 도입하세요.
D2. 문제 정의,91~100,초격차,사회 구조적 문제를 해결하는 임팩트 기업으로 도약하세요. 기업의 존재 자체가 산업의 해답이 되어야 합니다.
D3. 해결 가치,0~40,위기,차별화가 없는 상태입니다. 경쟁사 대비 우리만이 줄 수 있는 '단 하나의 독보적 가치(UVP)'를 재수립하세요.
D3. 해결 가치,41~60,정립,가치는 있으나 전달력이 약합니다. 랜딩페이지의 메시지와 마케팅 언어를 일관성 있게 정비하세요.
D3. 해결 가치,61~75,가속,강력한 팬덤이 형성 중입니다. 제품 경험(UX) 고도화를 통해 고객이 감동하는 'WOW 포인트'를 강화하세요.
D3. 해결 가치,76~90,주도,대체 불가능한 브랜드 가치를 구축하세요. 가격 경쟁을 넘어서는 심리적 장벽과 팬덤을 완성할 시기입니다.
D3. 해결 가치,91~100,초격차,사용자의 삶의 방식을 바꾸는 라이프스타일 리더가 되세요. 제품을 넘어 철학을 파는 단계입니다.
D4. 실행 역량,0~40,위기,1인 의존도가 높고 핵심 역량이 부족합니다. 사업 속도를 따라올 수 있는 코어 팀 리빌딩이 최우선입니다.
D4. 실행 역량,41~60,정립,실무는 돌아가나 시스템이 없습니다. 업무 프로세스(SOP)를 매뉴얼화하고 중간 관리자를 영입하세요.
D4. 실행 역량,61~75,가속,고성과 조직으로 진화 중입니다. 핵심 인재 유출 방지를 위한 인센티브 체계와 조직 문화를 정립하세요.
D4. 실행 역량,76~90,주도,리더 없이도 돌아가는 자율 경영 시스템을 구축하세요. 조직의 비전과 개인의 목표를 정렬(Align)해야 합니다.
D4. 실행 역량,91~100,초격차,글로벌 인재들이 선망하는 인재 경영의 표본이 되세요. 업계 최고 인재 밀도를 유지하는 시스템이 필요합니다.
D5. 기술/제품,0~40,위기,기술적 가설이 흔들리고 있습니다. 모든 부가기능을 빼고 핵심 기능만 작동하는 가장 가벼운 MVP를 재구현하세요.
D5. 기술/제품,41~60,정립,구동은 되나 기술 부채가 많습니다. 확장성을 고려한 아키텍처 재설계와 보안 시스템 강화가 시급합니다.
D5. 기술/제품,61~75,가속,서비스 공급이 안정적입니다. 이제 AI 접목이나 대용량 트래픽 처리를 위한 기술 고도화에 집중하세요.
D5. 기술/제품,76~90,주도,독보적인 기술 특허를 확보하세요. 기술 자체가 강력한 진입 장벽이 되어 경쟁사와의 격차를 벌려야 합니다.
D5. 기술/제품,91~100,초격차,산업 전체의 기술 표준을 선도하세요. 원천 기술 R&D를 통해 기술적 패러다임을 전환하는 단계입니다.
D6. 수익 모델,0~40,위기,"수익 경로가 불투명합니다. 비용 구조를 전면 혁파하고, 최소한의 생존이 가능한 수익원(Revenue Path)을 발굴하세요."
D6. 수익 모델,41~60,정립,매출은 나오나 이익률이 낮습니다. 단가 최적화와 결제 편의성 개선을 통해 유닛 이코노믹스를 플러스로 만드세요.
D6. 수익 모델,61~75,가속,수익 모델을 다각화할 시기입니다. 교차 판매(Cross-sell)와 업셀링 전략을 통해 고객 생애 가치(LTV)를 극대화하세요.
D6. 수익 모델,76~90,주도,플랫폼 비즈니스로의 전환을 검토하세요. 우리가 직접 팔지 않아도 생태계 내에서 수익이 발생하는 구조를 만드세요.
D6. 수익 모델,91~100,초격차,영속 가능한 경제 모델을 완성하세요. 자생적으로 수익이 증폭되는 네트워크 효과와 글로벌 정산 체계를 구축하세요.
D7. 성장 전략,0~40,위기,성장이 멈추고 고객이 이탈 중입니다. 유입 마케팅을 멈추고 기존 고객의 이탈 방지(Retention)에 사활을 거세요.
D7. 성장 전략,41~60,정립,유기적 성장의 한계입니다. 데이터 기반의 퍼널(AARRR) 분석을 시작하고 유효한 유입 채널 1개를 집중 공략하세요.
D7. 성장 전략,61~75,가속,"공격적인 스케일업 단계입니다. 마케팅 예산을 증액하고, 다른 지역이나 카테고리로 빠르게 확장을 추진하세요."
D7. 성장 전략,76~90,주도,카테고리 킬러로 등극하세요. 데이터 초개인화와 멤버십 시스템을 통해 고객을 완전히 락인(Lock-in)시켜야 합니다.
D7. 성장 전략,91~100,초격차,브랜드가 곧 문화가 되는 단계입니다. 광고 없이도 팬덤에 의해 성장이 폭발하는 브랜드 에쿼티를 완성하세요.